# interval=15s tz=+02:00
timestamp	lawn_mower	battery	progression	zone	current_mow_progress	area_session	action	boundary_id
11:36:40	docked	100	100	#1	10000	0.0	5	1
11:36:55	docked	100	100	#1	10000	0.0	5	1
11:37:11	docked	100	100	#1	10000	0.0	5	1
11:37:26	docked	100	100	#1	10000	0.0	5	1
11:37:41	docked	100	100	#1	10000	0.0	5	1
11:37:56	docked	100	100	#1	10000	0.0	5	1
11:38:11	docked	100	100	#1	10000	0.0	5	1
11:38:26	docked	100	100	#1	10000	0.0	5	1
11:38:41	docked	100	100	#1	10000	0.0	5	1
11:38:56	docked	100	100	#1	10000	0.0	5	1
11:39:11	docked	100	100	#1	10000	0.0	5	1
11:39:26	docked	100	100	#1	10000	0.0	5	1
11:39:41	mowing	100	100	#1	10000	0.0	5	1
11:39:56	mowing	100	100	#1	10000	0.0	5	1
11:40:11	mowing	100	100	#1	10000	0.0	5	1
11:40:27	mowing	100	100	#1	10000	0.0	5	1
11:40:42	mowing	100	0	#1	107	2.6	8	1
11:40:57	mowing	100	0	#1	107	2.6	8	1
11:41:12	mowing	100	1	#1	213	5.16	8	1
11:41:27	mowing	100	1	#1	213	5.16	8	1
11:41:42	mowing	100	1	#1	213	5.16	8	1
11:41:57	mowing	100	1	#1	213	5.16	8	1
11:42:12	mowing	100	2	#1	308	7.45	8	1
11:42:27	mowing	100	2	#1	308	7.45	8	1
11:42:42	mowing	100	2	#1	404	9.76	8	1
11:42:57	mowing	100	2	#1	404	9.76	8	1
11:43:12	mowing	100	2	#1	404	9.76	8	1
11:43:27	mowing	100	2	#1	404	9.76	8	1
11:43:43	mowing	100	3	#1	504	12.19	8	1
11:43:58	mowing	100	3	#1	504	12.19	8	1
11:44:13	mowing	100	3	#1	504	12.19	8	1
11:44:28	mowing	100	3	#1	605	14.64	8	1
11:44:43	mowing	100	3	#1	605	14.64	8	1
11:44:58	mowing	100	4	#1	712	17.21	8	1
11:45:13	mowing	100	4	#1	712	17.21	8	1
11:45:28	mowing	100	4	#1	712	17.21	8	1
11:45:43	mowing	100	5	#1	805	19.56	8	1
11:45:58	mowing	100	5	#1	805	19.56	8	1
11:46:13	mowing	100	5	#1	805	19.56	8	1
11:46:28	mowing	100	5	#1	805	19.56	8	1
11:46:43	mowing	100	5	#1	805	19.56	8	1
11:46:59	mowing	100	6	#1	914	22.19	8	1
11:47:14	mowing	100	6	#1	914	22.19	8	1
11:47:29	mowing	100	6	#1	914	22.19	8	1
11:47:44	mowing	100	6	#1	1003	24.36	8	1
11:47:59	mowing	100	6	#1	1003	24.36	8	1
11:48:14	mowing	100	6	#1	1003	24.36	8	1
11:48:29	mowing	100	6	#1	1003	24.36	8	1
11:48:44	mowing	100	6	#1	1003	24.36	8	1
11:48:59	mowing	100	7	#1	1117	27.12	8	1
11:49:14	mowing	100	7	#1	1117	27.12	8	1
11:49:29	mowing	100	7	#1	1117	27.12	8	1
11:49:44	mowing	100	7	#1	1202	29.2	8	1
11:50:00	mowing	100	7	#1	1202	29.2	8	1
11:50:15	mowing	100	7	#1	1202	29.2	8	1
11:50:30	mowing	100	7	#1	1202	29.2	8	1
11:50:45	mowing	100	8	#1	1309	31.79	8	1
11:51:00	mowing	100	8	#1	1309	31.79	8	1
11:51:15	mowing	99	8	#1	1309	31.79	8	1
11:51:30	mowing	99	9	#1	1420	34.49	8	1
11:51:45	mowing	99	9	#1	1420	34.49	8	1
11:52:00	mowing	99	9	#1	1420	34.49	8	1
11:52:15	mowing	98	9	#1	1500	36.43	8	1
11:52:30	mowing	98	9	#1	1500	36.43	8	1
11:52:45	mowing	98	9	#1	1500	36.43	8	1
11:53:00	mowing	98	10	#1	1606	39.01	8	1
11:53:16	mowing	98	10	#1	1606	39.01	8	1
11:53:31	mowing	97	10	#1	1606	39.01	8	1
11:53:46	mowing	97	10	#1	1606	39.01	8	1
